movieId,title,genres,year,genres_list,genres_str
1,Toy Story,Animation|Children's|Comedy,1995,"['Animation', ""Children's"", 'Comedy']",Animation Children's Comedy
2,Jumanji,Adventure|Children's|Fantasy,1995,"['Adventure', ""Children's"", 'Fantasy']",Adventure Children's Fantasy
3,Grumpier Old Men,Comedy|Romance,1995,"['Comedy', 'Romance']",Comedy Romance
4,Waiting to Exhale,Comedy|Drama,1995,"['Comedy', 'Drama']",Comedy Drama
5,Father of the Bride Part II,Comedy,1995,['Comedy'],Comedy
6,Heat,Action|Crime|Thriller,1995,"['Action', 'Crime', 'Thriller']",Action Crime Thriller
7,Sabrina,Comedy|Romance,1995,"['Comedy', 'Romance']",Comedy Romance
8,Tom and Huck,Adventure|Children's,1995,"['Adventure', ""Children's""]",Adventure Children's
9,Sudden Death,Action,1995,['Action'],Action
10,GoldenEye,Action|Adventure|Thriller,1995,"['Action', 'Adventure', 'Thriller']",Action Adventure Thriller
11,"American President, The",Comedy|Drama|Romance,1995,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance
12,Dracula: Dead and Loving It,Comedy|Horror,1995,"['Comedy', 'Horror']",Comedy Horror
13,Balto,Animation|Children's,1995,"['Animation', ""Children's""]",Animation Children's
14,Nixon,Drama,1995,['Drama'],Drama
15,Cutthroat Island,Action|Adventure|Romance,1995,"['Action', 'Adventure', 'Romance']",Action Adventure Romance
16,Casino,Drama|Thriller,1995,"['Drama', 'Thriller']",Drama Thriller
17,Sense and Sensibility,Drama|Romance,1995,"['Drama', 'Romance']",Drama Romance
18,Four Rooms,Thriller,1995,['Thriller'],Thriller
19,Ace Ventura: When Nature Calls,Comedy,1995,['Comedy'],Comedy
20,Money Train,Action,1995,['Action'],Action
21,Get Shorty,Action|Comedy|Drama,1995,"['Action', 'Comedy', 'Drama']",Action Comedy Drama
22,Copycat,Crime|Drama|Thriller,1995,"['Crime', 'Drama', 'Thriller']",Crime Drama Thriller
23,Assassins,Thriller,1995,['Thriller'],Thriller
24,Powder,Drama|Sci-Fi,1995,"['Drama', 'Sci-Fi']",Drama Sci-Fi
25,Leaving Las Vegas,Drama|Romance,1995,"['Drama', 'Romance']",Drama Romance
26,Othello,Drama,1995,['Drama'],Drama
27,Now and Then,Drama,1995,['Drama'],Drama
28,Persuasion,Romance,1995,['Romance'],Romance
29,"City of Lost Children, The",Adventure|Sci-Fi,1995,"['Adventure', 'Sci-Fi']",Adventure Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama,1995,['Drama'],Drama
31,Dangerous Minds,Drama,1995,['Drama'],Drama
32,Twelve Monkeys,Drama|Sci-Fi,1995,"['Drama', 'Sci-Fi']",Drama Sci-Fi
33,Wings of Courage,Adventure|Romance,1995,"['Adventure', 'Romance']",Adventure Romance
34,Babe,Children's|Comedy|Drama,1995,"[""Children's"", 'Comedy', 'Drama']",Children's Comedy Drama
35,Carrington,Drama|Romance,1995,"['Drama', 'Romance']",Drama Romance
36,Dead Man Walking,Drama,1995,['Drama'],Drama
37,Across the Sea of Time,Documentary,1995,['Documentary'],Documentary
38,It Takes Two,Comedy,1995,['Comedy'],Comedy
39,Clueless,Comedy|Romance,1995,"['Comedy', 'Romance']",Comedy Romance
40,"Cry, the Beloved Country",Drama,1995,['Drama'],Drama
41,Richard III,Drama|War,1995,"['Drama', 'War']",Drama War
42,Dead Presidents,Action|Crime|Drama,1995,"['Action', 'Crime', 'Drama']",Action Crime Drama
43,Restoration,Drama,1995,['Drama'],Drama
